Date,Open,High,Low,Close,Volume,RSI,MACD,Bollinger_High,Bollinger_Low,Volatility_20
2016.05.11,17954.9,18052.9,17947.2,18045.2,150011,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.12,18077.0,18277.6,17872.1,18072.6,175202,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.13,18043.9,18229.2,17947.3,18132.6,155177,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.14,18110.4,18392.7,17915.7,18198.0,177711,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.16,18210.9,18255.2,18194.9,18239.3,168642,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.17,18234.9,18343.4,18219.8,18328.3,164280,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.18,18303.4,18507.6,18212.5,18416.7,169428,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.19,18396.8,18492.7,18347.4,18443.4,128896,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.20,18418.7,18501.8,18408.3,18491.5,133062,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.21,18460.7,18692.4,18299.0,18530.8,123722,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.23,18506.0,18535.4,18480.0,18509.4,142890,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.24,18480.1,18519.4,18434.8,18474.1,135881,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.25,18475.5,18605.9,18268.7,18399.1,128476,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.26,18391.1,18445.9,18207.8,18262.5,144001,51.686694114294795,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.27,18242.1,18252.3,18120.0,18130.2,164529,40.65965011815529,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.28,18124.1,18164.1,17948.9,17988.9,157096,32.64826721679984,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.30,17991.8,18088.8,17760.0,17857.0,139854,27.250588250226187,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.05.31,17857.0,17950.7,17667.3,17761.0,152496,24.12440363469983,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.06.01,17787.3,17835.9,17630.6,17679.1,132779,21.824161000116305,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.06.02,17686.5,17882.5,17464.3,17660.2,128385,21.318981065676383,-157.14248379342462,18727.448622826312,17634.541377173693,280.32479371915025
2016.06.03,17648.7,17703.7,17610.4,17665.4,132760,21.85494584930011,-157.14248379342462,18750.773771165725,17573.23622883427,302.0320067999064
2016.06.04,17657.7,17734.6,17586.5,17663.4,173936,21.79345595878695,-157.14248379342462,18768.51944756545,17514.570552434554,321.631105256349
2016.06.06,17642.5,17883.6,17405.6,17646.7,122229,21.25568149292269,-157.14248379342462,18780.344474415222,17454.155525584778,340.16028806864995
2016.06.07,17667.4,17690.3,17633.4,17656.3,124815,22.440491103085932,-157.14248379342462,18781.504830401806,17398.825169598196,354.6498499632376
2016.06.08,17654.5,17833.3,17447.6,17626.4,164049,21.362379774305026,-157.14248379342462,18775.593768825525,17343.44623117447,367.33809265551156
2016.06.09,17609.0,17693.2,17487.2,17571.4,124362,19.50596554020254,-157.14248379342462,18756.682724789338,17286.66727521066,377.0510071246121
2016.06.10,17587.1,17696.2,17419.3,17528.3,173429,18.173193786629767,-164.50699928457107,18718.752564325063,17235.757435674932,380.3802245606923
2016.06.11,17552.4,17564.0,17500.0,17511.6,150530,17.669421195636943,-169.73438892254126,18666.222481846256,17195.107518153745,377.3330265442632
2016.06.13,17499.9,17524.2,17479.0,17503.3,131629,17.411090768810666,-172.55773534633408,18591.81844255809,17170.69155744191,364.5113549238522
2016.06.14,17528.1,17653.1,17350.0,17474.9,175755,16.521038498318106,-175.06881604478986,18493.58727624118,17163.33272375882,341.20309340240533
2016.06.15,17472.6,17551.7,17456.4,17535.5,174044,25.296490683786672,-170.20691270546013,18377.543167132266,17181.986832867733,306.65372941342247
2016.06.16,17563.7,17643.4,17502.3,17582.0,135716,31.267144177522397,-160.74864755122326,18245.82847719436,17224.49152280563,261.96740134685547
2016.06.17,17551.6,17637.5,17527.3,17613.2,155207,35.01987758465279,-149.017543540911,18107.468558172197,17284.2614418278,211.14817016294975
2016.06.18,17646.2,17758.6,17563.0,17675.4,128376,41.837695582444546,-133.16647864917468,17985.632771985984,17347.38722801402,163.70652785751264
2016.06.20,17685.9,17734.0,17668.7,17716.8,172165,45.90595794185675,-115.92742235337937,17885.91182591887,17405.76817408113,123.15424816915694
2016.06.21,17712.1,17770.8,17649.9,17708.6,180663,45.23111480745954,-101.75406004352772,17816.482876896764,17447.167123103238,94.72749211904147
2016.06.22,17712.8,17807.9,17549.3,17644.4,146144,40.243065948231326,-94.6113509968527,17774.614079322033,17467.775920677966,78.70232709062057
2016.06.23,17635.4,17695.9,17515.2,17575.7,128952,35.70538905157345,-93.41736127655895,17752.282856757607,17471.577143242394,71.99949634330561
2016.06.24,17566.6,17720.7,17338.5,17492.6,166945,31.13254764107603,-98.0463737603568,17748.53878601277,17456.67121398723,74.86245264346553
2016.06.25,17507.2,17531.9,17446.2,17470.9,121994,30.050256876215073,-102.2868094811638,17747.23130280461,17439.04869719539,79.04717046106386
2016.06.27,17451.2,17469.4,17431.3,17449.5,121793,28.980289030338866,-106.15054904041244,17744.703214759902,17419.9867852401,83.28800681342562
2016.06.28,17470.8,17667.6,17286.3,17483.1,169574,33.013229100558334,-105.28766067184188,17736.703928152634,17409.956071847362,83.80905678985995
2016.06.29,17486.5,17667.8,17364.0,17545.2,170970,39.815649269920215,-98.45790299650253,17728.472495611502,17408.037504388492,82.1898410613515
2016.06.30,17566.5,17602.9,17519.2,17555.6,151975,40.89808565272888,-91.15529623666225,17718.30025793125,17408.139742068746,79.55449373662233
2016.07.01,17530.4,17624.5,17429.1,17523.2,167571,38.57067814697578,-86.97968927397596,17711.244077501626,17404.875922498377,78.58177370039982
2016.07.02,17500.1,17633.4,17340.9,17474.3,135378,35.30513202106144,-86.61783550806649,17710.49019924018,17395.919800759817,80.68560476191305
2016.07.04,17501.6,17532.6,17431.2,17462.3,166659,34.5324809706604,-86.30449896203208,17711.842537032106,17387.9674629679,83.07220369246268
